epoch,C,train_loss,val_loss,train_rec,val_rec,train_kl_raw,val_kl_raw,train_kl_fb,val_kl_fb,train_elbo,val_elbo,train_capgap,val_capgap,lr,is_best
1,0.0,8.652204737943762,8.641799266521748,0.971695205744575,0.9617993923333975,0.7562731656373716,0.8291683563819299,2.560169874453077,2.559999942779541,1.7279683713819467,1.7909677487153273,2.560169874453077,2.559999942779541,0.0001,1
2,0.2,8.036372437196619,8.033002633314867,0.9561322962536531,0.9530027050238389,0.8107934348723468,0.9237317076096168,2.5600800140231263,2.559999942779541,1.7669257311259998,1.8767344126334558,2.360080014023126,2.359999942779541,0.0001,1
3,0.4,7.430148349088781,7.429961974804218,0.9491110198638019,0.9499624233979446,0.840199211064507,0.4455091173832233,2.5603458694383208,2.559999942779541,1.7893102309283089,1.395471540781168,2.160345869438321,2.159999942779541,0.0001,1
4,0.6,6.830724435694077,6.824618339538574,0.9449250125417522,0.9446187156897324,0.6575725712612563,0.479520158125804,2.56193320423949,2.559999942779541,1.6024975838030087,1.4241388738155365,1.96193320423949,1.959999942779541,0.0001,1
5,0.8,6.222747232399735,6.2245959135202265,0.9416041467704025,0.9445961530391986,0.4890493265554017,0.18790444158590758,2.5603810572156718,2.559999942779541,1.4306534733258043,1.1325005946251063,1.7603810572156717,1.759999942779541,0.0001,1
6,1.0,5.624753746331907,5.621390195993277,0.9396987335354674,0.9413903722396264,0.3716065027550155,0.19782303961423728,2.5616850151735195,2.559999942779541,1.311305236290483,1.1392134118538637,1.5616850151735195,1.559999942779541,0.0001,1
7,1.2,5.014881105983958,5.011400626255916,0.9348191782539966,0.9314006979648883,0.5400956106536529,0.8672234507707449,2.5600206197476854,2.559999942779541,1.4749147889076495,1.7986241487356334,1.3600206197476854,1.359999942779541,0.0001,1
8,1.4,4.407843262541528,4.411586578075703,0.9274004651050941,0.9315865819270794,0.9078544904203976,0.42596247562995326,2.5601475379046272,2.559999942779541,1.8352549555254916,1.3575490575570326,1.1601475379046273,1.159999942779541,0.0001,1
9,1.6,3.806869581633923,3.813434068973248,0.9242096169322145,0.9334344267845154,0.7886155861265519,0.25686611235141754,2.560886714972702,2.559999942779541,1.7128252030587663,1.190300539135933,0.9608867149727018,0.9599999427795409,0.0001,1
10,1.8,3.203754654117659,3.2045457179729757,0.9212033024021223,0.9245457282433143,0.6552688187243891,0.373130365059926,2.5608504052255667,2.559999942779541,1.5764721211265114,1.2976760933032403,0.7608504052255667,0.759999942779541,0.0001,1
11,2.0,2.5844828988991533,2.586643860890315,0.9036282756749321,0.9066440738164462,0.9986851530916551,0.6733282254292414,2.560284876355938,2.559999942779541,1.902313428766587,1.5799722992456875,0.5602848763559378,0.559999942779541,0.0001,1
12,2.0,2.5724130565044927,2.56143934910114,0.8890157774382946,0.8814395161775442,1.0513642862731336,1.147036442389855,2.5611324216805254,2.559999942779541,1.9403800637114283,2.028475958567399,0.5611324216805254,0.559999942779541,0.0001,1
