,NSC,CID,SMILES,MECHANISM,NAME,nci60,nciSclc,lantnci,gdsc1,gdsc2,gdscDec15,ccle,ctrp
20416,758381,155814546.0,C1=CC=C2C(=C1)C(=CN2S(=O)(=O)C3=CC=C(C=C3)Br)C(=O)C(=O)NC4=CC=NC=C4,Other,2-[1-(4-bromophenyl)sulfonylindol-3-yl]-2-oxo-N-pyridin-4-ylacetamide,,,,,,,,
20417,758394,5351247.0,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-],Other,Decamine,,,,,,,,
20418,758399,5702223.0,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,Other,cis-Chlorprothixene hydrochloride,,,,,,,,
20419,758401,5974.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],Other,Cetrimonium Bromide,,,,,,,,
20420,758408,5702227.0,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.C1=CC(=CC(=C1)N)C(=C2C=CC(=N)C=C2)C3=CC(=CC=C3)N,Other,Pharmakon1600-01503223,,,,,,,,
20421,758423,3926765.0,COC1=C(C=CC(=C1)NS(=O)(=O)C)CC2=C3C=CC=CC3=NC4=CC=CC=C42,DNA,N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide,,,,,,,,
20422,758427,5702238.0,CC1=C(C=CC(=C1)C(C)(C)CC(C)(C)C)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],Other,Methylbenzethonium chloride,,,,,,,,
20423,758440,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Other,Niclosamide,758440|178296,,,,,,,niclosamide
20424,758440,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Other,niclosamide,758440|178296,,,,,,,niclosamide
20425,758450,5458171.0,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl,Other,"1,4-Dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione hydrochloride",,,,,,,,
20426,758459,4622.0,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Other,Oxibendazole,758459,,,,,,,
20427,758465,60148415.0,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O.[Na+],Other,Pharmakon1600-01503602,,,,,,,,
20428,758480,3014024.0,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],Other,Benzyldimethyl(tridecyl)ammonium chloride,,,,,,,,
20429,758484,5310939.0,CCOC(=O)C(CCC(=O)NC(CSCC1=CC=CC=C1)C(=O)NC(C2=CC=CC=C2)C(=O)OCC)N,Other,Ezatiostat,758484,758484,,,,,,
20430,758485,11754511.0,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br,Kinase,N-[3-[[5-Bromo-4-[[2-(1H-imidazol-5-YL)ethyl]amino]-2-pyrimidinyl]amino]phenyl]-1-pyrrolidinecarboxamide,758485,758485,758485,BX-912,,BX-912,,
